Name,Nutrient,Value
Toast Yay,Total Fat,6g
Toast Yay,Saturated Fat,4g
Toast Yay,Trans Fat,0g
Toast Yay,Cholesterol,0mg
Toast Yay,Sodium,90mg
Toast Yay,Total Carbohydrate,21g
Toast Yay,Dietary Fiber,0g
Toast Yay,Total Sugars,10g
Toast Yay,Protein,1g
Toast Yay,Vitamin D,0mcg
Toast Yay,Calcium,0mcg
Toast Yay,Iron,1 mg
Toast Yay,Potassium,0 mg
Thin Mints,Total Fat,7g
Thin Mints,Saturated Fat,5g
Thin Mints,Trans Fat,0g
Thin Mints,Cholesterol,9mg
Thin Mints,Sodium,12mg
Thin Mints,Total Carbohydrate,21g
Thin Mints,Dietary Fiber,1g
Thin Mints,Total Sugars,10g
Thin Mints,Protein,2g
Thin Mints,Vitamin D,0mcg
Thin Mints,Calcium,10mcg
Thin Mints,Iron,1.2mg
Thin Mints,Potassium,40mg
Lemon-Ups,Total Fat,6g
Lemon-Ups,Saturated Fat,2g
Lemon-Ups,Trans Fat,0g
Lemon-Ups,Cholesterol,0mg
Lemon-Ups,Sodium,100mg
Lemon-Ups,Total Carbohydrate,20g
Lemon-Ups,Dietary Fiber,0g
Lemon-Ups,Total Sugars,7g
Lemon-Ups,Protein,1g
Lemon-Ups,Vitamin D,9mcg
Lemon-Ups,Calcium,0mcg
Lemon-Ups,Iron,7mg
Lemon-Ups,Potassium,10mg
Lemonades,Total Fat,7g
Lemonades,Saturated Fat,4.5g
Lemonades,Trans Fat,0g
Lemonades,Cholesterol,0mg
Lemonades,Sodium,70mg
Lemonades,Total Carbohydrate,20g
Lemonades,Dietary Fiber,0g
Lemonades,Total Sugars,9g
Lemonades,Protein,1g
Lemonades,Vitamin D,0mcg
Lemonades,Calcium,0mcg
Lemonades,Iron,1mg
Lemonades,Potassium,0mg
Trefoil,Total Fat,7g
Trefoil,Saturated Fat,2.5g
Trefoil,Trans Fat,0g
Trefoil,Cholesterol,0mg
Trefoil,Sodium,110mg
Trefoil,Total Carbohydrate,21g
Trefoil,Dietary Fiber,0g
Trefoil,Total Sugars,7g
Trefoil,Protein,2g
Trefoil,Vitamin D,0mcg
Trefoil,Calcium,5mg
Trefoil,Iron,1mg
Trefoil,Potassium,35mg
Do-si-dos,Total Fat,7g
Do-si-dos,Saturated Fat,2g
Do-si-dos,Trans Fat,2.5g
Do-si-dos,Cholesterol,2.5g
Do-si-dos,Sodium,0mg
Do-si-dos,Total Carbohydrate,100mg
Do-si-dos,Dietary Fiber,22g
Do-si-dos,Total Sugars,11g
Do-si-dos,Protein,1g
Do-si-dos,Vitamin D,0mcg
Do-si-dos,Calcium,15mg
Do-si-dos,Iron,0.8mg
Do-si-dos,Potassium,70mg
Tagalongs,Total Fat,8g
Tagalongs,Saturated Fat,4g
Tagalongs,Trans Fat,0mg
Tagalongs,Cholesterol,0mg
Tagalongs,Sodium,80mg
Tagalongs,Total Carbohydrate,13g
Tagalongs,Dietary Fiber,1g
Tagalongs,Total Sugars,8g
Tagalongs,Protein,3g
Tagalongs,Vitamin D,0mcg
Tagalongs,Calcium,0mg
Tagalongs,Iron,0.7mg
Tagalongs,Potassium,60mg
Caramel Chocolate Chip,Total Fat,8g
Caramel Chocolate Chip,Saturated Fat,3.5g
Caramel Chocolate Chip,Trans Fat,0g
Caramel Chocolate Chip,Cholesterol,15mg
Caramel Chocolate Chip,Sodium,120mg
Caramel Chocolate Chip,Total Carbohydrate,23g
Caramel Chocolate Chip,Dietary Fiber,2g
Caramel Chocolate Chip,Total Sugars,12g
Caramel Chocolate Chip,Protein,2g
Caramel Chocolate Chip,Vitamin D,0mcg
Caramel Chocolate Chip,Calcium,0mg
Caramel Chocolate Chip,Iron,1mg
Caramel Chocolate Chip,Potassium,95mg
Caramel deLites,Total Fat,6g
Caramel deLites,Saturated Fat,5g
Caramel deLites,Trans Fat,0g
Caramel deLites,Cholesterol,0mg
Caramel deLites,Sodium,50mg
Caramel deLites,Total Carbohydrate,19g
Caramel deLites,Dietary Fiber,1g
Caramel deLites,Total Sugars,12g
Caramel deLites,Protein,1g
Caramel deLites,Vitamin D,0mcg
Caramel deLites,Calcium,0mg
Caramel deLites,Iron,0.7mg
Caramel deLites,Potassium,0mg
Girl Scout S'mores,Total Fat,7g
Girl Scout S'mores,Saturated Fat,3.5g
Girl Scout S'mores,Trans Fat,0mg
Girl Scout S'mores,Cholesterol,0mg
Girl Scout S'mores,Sodium,110mg
Girl Scout S'mores,Total Carbohydrate,21g
Girl Scout S'mores,Dietary Fiber,1g
Girl Scout S'mores,Total Sugars,10g
Girl Scout S'mores,Protein,2g
Girl Scout S'mores,Vitamin D,0mcg
Girl Scout S'mores,Calcium,0mg
Girl Scout S'mores,Iron,0.8mg
Girl Scout S'mores,Potassium,50mg
Chocolate-Covered Girl Scout S'mores,Total Fat,9g
Chocolate-Covered Girl Scout S'mores,Saturated Fat,7g
Chocolate-Covered Girl Scout S'mores,Trans Fat,0g
Chocolate-Covered Girl Scout S'mores,Cholesterol,0mg
Chocolate-Covered Girl Scout S'mores,Sodium,80mg
Chocolate-Covered Girl Scout S'mores,Total Carbohydrate,26g
Chocolate-Covered Girl Scout S'mores,Dietary Fiber,1g
Chocolate-Covered Girl Scout S'mores,Total Sugars,16g
Chocolate-Covered Girl Scout S'mores,Protein,1g
Chocolate-Covered Girl Scout S'mores,Vitamin D,0mcg
Chocolate-Covered Girl Scout S'mores,Calcium,0mg
Chocolate-Covered Girl Scout S'mores,Iron,1.1mg
Chocolate-Covered Girl Scout S'mores,Potassium,0mg
