Fuel system status: Fuel system 2	Calculated engine load [%]	Engine Coolant Temperature [°F]	Short Term Fuel Trim - Bank 1 [%]	Long Term Fuel Trim - Bank 1 [%]	Ignition Timing Advance for #1 Cylinder	Bank 1 - Sensor 1 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 1 (O2S): Short Term Fuel Trim [%]	Bank 1 - Sensor 2 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 2 (O2S): Short Term Fuel Trim [%]	Fuel consumption [MPG]	Battery voltage [V]	Engine RPM [RPM]	Air Flow Rate from Mass Flow Sensor [lb/min]	Intake Air Temperature [°F]	Absolute Throttle Position [%]	Vehicle Speed Sensor [mph]	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string
												class	class	class	class	class	meta
																	13:28:22.057
																	13:28:22.057
	15.3																13:28:22.347
	15.3	158.0															13:28:22.626
	15.3	158.0	-2.3														13:28:22.926
	15.3	158.0	-2.3	19.5													13:28:23.198
	15.3	158.0	-2.3	19.5								925.0					13:28:23.482
	15.3	158.0	-2.3	19.5								925.0				0.0	13:28:23.777
	15.3	158.0	-2.3	19.5	14.5							925.0				0.0	13:28:24.026
	15.3	158.0	-2.3	19.5	14.5							925.0		93.0		0.0	13:28:24.272
	15.3	158.0	-2.3	19.5	14.5							925.0	0.5	93.0		0.0	13:28:24.546
	15.3	158.0	-2.3	19.5	14.5							925.0	0.5	93.0	10.6	0.0	13:28:24.820
	15.3	158.0	-2.3	19.5	14.5							925.0	0.5	93.0	10.6	0.0	13:28:25.062
	15.3	158.0	-2.3	19.5	14.5	0.055						925.0	0.5	93.0	10.6	0.0	13:28:25.327
	15.3	158.0	-2.3	19.5	14.5	0.055	1.6					925.0	0.5	93.0	10.6	0.0	13:28:25.327
	15.3	158.0	-2.3	19.5	14.5	0.055	1.6	0.11				925.0	0.5	93.0	10.6	0.0	13:28:25.573
	15.3	158.0	-2.3	19.5	14.5	0.055	1.6	0.11				925.0	0.5	93.0	10.6	0.0	13:28:25.840
	15.3	158.0	-2.3	19.5	14.5	0.055	1.6	0.11		0.0		925.0	0.5	93.0	10.6	0.0	13:28:26.352
	15.3	158.0	-2.3	19.5	14.5	0.055	1.6	0.11		0.0	13.9	925.0	0.5	93.0	10.6	0.0	13:28:26.588
	15.3	158.0	-2.3	19.5	14.5	0.055	1.6	0.11		0.0	13.9	925.0	0.5	93.0	10.6	0.0	13:28:26.854
	15.3	158.0	-2.3	19.5	14.5	0.055	1.6	0.11		0.0	13.9	925.0	0.5	93.0	10.6	0.0	13:28:26.854
	20.0	158.0	-2.3	19.5	14.5	0.055	1.6	0.11		0.0	13.9	925.0	0.5	93.0	10.6	0.0	13:28:27.125
	20.0	158.0	-2.3	19.5	14.5	0.055	1.6	0.11		0.0	13.9	925.0	0.5	93.0	10.6	0.0	13:28:27.370
	20.0	158.0	3.9	19.5	14.5	0.055	1.6	0.11		0.0	13.9	925.0	0.5	93.0	10.6	0.0	13:28:27.620
	20.0	158.0	3.9	19.5	14.5	0.055	1.6	0.11		0.0	13.9	925.0	0.5	93.0	10.6	0.0	13:28:27.876
	20.0	158.0	3.9	19.5	14.5	0.055	1.6	0.11		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:28.148
	20.0	158.0	3.9	19.5	14.5	0.055	1.6	0.11		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:28.422
	20.0	158.0	3.9	19.5	12.0	0.055	1.6	0.11		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:28.667
	20.0	158.0	3.9	19.5	12.0	0.055	1.6	0.11		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:28.915
	20.0	158.0	3.9	19.5	12.0	0.055	1.6	0.11		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:29.175
	20.0	158.0	3.9	19.5	12.0	0.055	1.6	0.11		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:29.437
	20.0	158.0	3.9	19.5	12.0	0.055	1.6	0.11		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:29.693
	20.0	158.0	3.9	19.5	12.0	0.055	1.6	0.11		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:29.943
	20.0	158.0	3.9	19.5	12.0	0.055	6.3	0.11		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:29.943
	20.0	158.0	3.9	19.5	12.0	0.055	6.3	0.055		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:30.192
	20.0	158.0	3.9	19.5	12.0	0.055	6.3	0.055		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:30.470
	20.0	158.0	3.9	19.5	12.0	0.055	6.3	0.055		0.0	13.9	985.0	0.5	93.0	10.6	0.0	13:28:30.991
	20.0	158.0	3.9	19.5	12.0	0.055	6.3	0.055		0.0	14.0	985.0	0.5	93.0	10.6	0.0	13:28:31.227
	20.0	158.0	3.9	19.5	12.0	0.055	6.3	0.055		0.0	14.0	985.0	0.5	93.0	10.6	0.0	13:28:31.482
	20.0	158.0	3.9	19.5	12.0	0.055	6.3	0.055		0.0	14.0	985.0	0.5	93.0	10.6	0.0	13:28:31.482
	20.0	158.0	3.9	19.5	12.0	0.055	6.3	0.055		0.0	14.0	985.0	0.5	93.0	10.6	0.0	13:28:31.728
	20.0	158.0	3.9	19.5	12.0	0.055	6.3	0.055		0.0	14.0	985.0	0.5	93.0	10.6	0.0	13:28:31.976
	20.0	158.0	8.6	19.5	12.0	0.055	6.3	0.055		0.0	14.0	985.0	0.5	93.0	10.6	0.0	13:28:32.222
	20.0	158.0	8.6	19.5	12.0	0.055	6.3	0.055		0.0	14.0	985.0	0.5	93.0	10.6	0.0	13:28:32.467
	20.0	158.0	8.6	19.5	12.0	0.055	6.3	0.055		0.0	14.0	966.0	0.5	93.0	10.6	0.0	13:28:32.718
	20.0	158.0	8.6	19.5	12.0	0.055	6.3	0.055		0.0	14.0	966.0	0.5	93.0	10.6	0.0	13:28:32.975
	20.0	158.0	8.6	19.5	12.5	0.055	6.3	0.055		0.0	14.0	966.0	0.5	93.0	10.6	0.0	13:28:33.222
	20.0	158.0	8.6	19.5	12.5	0.055	6.3	0.055		0.0	14.0	966.0	0.5	91.0	10.6	0.0	13:28:33.480
	20.0	158.0	8.6	19.5	12.5	0.055	6.3	0.055		0.0	14.0	966.0	0.5	91.0	10.6	0.0	13:28:33.750
	20.0	158.0	8.6	19.5	12.5	0.055	6.3	0.055		0.0	14.0	966.0	0.5	91.0	10.6	0.0	13:28:34.003
	20.0	158.0	8.6	19.5	12.5	0.055	6.3	0.055		0.0	14.0	966.0	0.5	91.0	10.6	0.0	13:28:34.248
	20.0	158.0	8.6	19.5	12.5	0.06	6.3	0.055		0.0	14.0	966.0	0.5	91.0	10.6	0.0	13:28:34.497
