Fuel system status: Fuel system 2	Short Term Fuel Trim - Bank 1 [%]	Long Term Fuel Trim - Bank 1 [%]	Bank 1 - Sensor 1 (O2S): Short Term Fuel Trim [%]	Bank 1 - Sensor 2 (O2S): Short Term Fuel Trim [%]	Engine RPM [RPM]	Air Flow Rate from Mass Flow Sensor [lb/min]	Intake Air Temperature [°F]	Absolute Throttle Position [%]	Vehicle Speed Sensor [mph]	Ignition Timing Advance for #1 Cylinder	Engine Coolant Temperature [°F]	Battery voltage [V]	Calculated engine load [%]	Bank 1 - Sensor 2 (O2S): Oxygen Sensor Output Voltage [V]	Bank 1 - Sensor 1 (O2S): Oxygen Sensor Output Voltage [V]	Fuel consumption [MPG]	Time
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string
					class	class	class	class	class	class	class	class	class	class	class	class	meta
																	13:28:22.057
																	13:28:22.057
													15.3				13:28:22.347
											158.0		15.3				13:28:22.626
	-2.3										158.0		15.3				13:28:22.926
	-2.3	19.5									158.0		15.3				13:28:23.198
	-2.3	19.5			925.0						158.0		15.3				13:28:23.482
	-2.3	19.5			925.0				0.0		158.0		15.3				13:28:23.777
	-2.3	19.5			925.0				0.0	14.5	158.0		15.3				13:28:24.026
	-2.3	19.5			925.0		93.0		0.0	14.5	158.0		15.3				13:28:24.272
	-2.3	19.5			925.0	0.5	93.0		0.0	14.5	158.0		15.3				13:28:24.546
	-2.3	19.5			925.0	0.5	93.0	10.6	0.0	14.5	158.0		15.3				13:28:24.820
	-2.3	19.5			925.0	0.5	93.0	10.6	0.0	14.5	158.0		15.3				13:28:25.062
	-2.3	19.5			925.0	0.5	93.0	10.6	0.0	14.5	158.0		15.3		0.055		13:28:25.327
	-2.3	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0		15.3		0.055		13:28:25.327
	-2.3	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0		15.3	0.11	0.055		13:28:25.573
	-2.3	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0		15.3	0.11	0.055		13:28:25.840
	-2.3	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0		15.3	0.11	0.055	0.0	13:28:26.352
	-2.3	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0	13.9	15.3	0.11	0.055	0.0	13:28:26.588
	-2.3	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0	13.9	15.3	0.11	0.055	0.0	13:28:26.854
	-2.3	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0	13.9	15.3	0.11	0.055	0.0	13:28:26.854
	-2.3	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0	13.9	20.0	0.11	0.055	0.0	13:28:27.125
	-2.3	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0	13.9	20.0	0.11	0.055	0.0	13:28:27.370
	3.9	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0	13.9	20.0	0.11	0.055	0.0	13:28:27.620
	3.9	19.5	1.6		925.0	0.5	93.0	10.6	0.0	14.5	158.0	13.9	20.0	0.11	0.055	0.0	13:28:27.876
	3.9	19.5	1.6		985.0	0.5	93.0	10.6	0.0	14.5	158.0	13.9	20.0	0.11	0.055	0.0	13:28:28.148
	3.9	19.5	1.6		985.0	0.5	93.0	10.6	0.0	14.5	158.0	13.9	20.0	0.11	0.055	0.0	13:28:28.422
	3.9	19.5	1.6		985.0	0.5	93.0	10.6	0.0	12.0	158.0	13.9	20.0	0.11	0.055	0.0	13:28:28.667
	3.9	19.5	1.6		985.0	0.5	93.0	10.6	0.0	12.0	158.0	13.9	20.0	0.11	0.055	0.0	13:28:28.915
	3.9	19.5	1.6		985.0	0.5	93.0	10.6	0.0	12.0	158.0	13.9	20.0	0.11	0.055	0.0	13:28:29.175
	3.9	19.5	1.6		985.0	0.5	93.0	10.6	0.0	12.0	158.0	13.9	20.0	0.11	0.055	0.0	13:28:29.437
	3.9	19.5	1.6		985.0	0.5	93.0	10.6	0.0	12.0	158.0	13.9	20.0	0.11	0.055	0.0	13:28:29.693
	3.9	19.5	1.6		985.0	0.5	93.0	10.6	0.0	12.0	158.0	13.9	20.0	0.11	0.055	0.0	13:28:29.943
	3.9	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	13.9	20.0	0.11	0.055	0.0	13:28:29.943
	3.9	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	13.9	20.0	0.055	0.055	0.0	13:28:30.192
	3.9	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	13.9	20.0	0.055	0.055	0.0	13:28:30.470
	3.9	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	13.9	20.0	0.055	0.055	0.0	13:28:30.991
	3.9	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	14.0	20.0	0.055	0.055	0.0	13:28:31.227
	3.9	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	14.0	20.0	0.055	0.055	0.0	13:28:31.482
	3.9	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	14.0	20.0	0.055	0.055	0.0	13:28:31.482
	3.9	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	14.0	20.0	0.055	0.055	0.0	13:28:31.728
	3.9	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	14.0	20.0	0.055	0.055	0.0	13:28:31.976
	8.6	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	14.0	20.0	0.055	0.055	0.0	13:28:32.222
	8.6	19.5	6.3		985.0	0.5	93.0	10.6	0.0	12.0	158.0	14.0	20.0	0.055	0.055	0.0	13:28:32.467
	8.6	19.5	6.3		966.0	0.5	93.0	10.6	0.0	12.0	158.0	14.0	20.0	0.055	0.055	0.0	13:28:32.718
	8.6	19.5	6.3		966.0	0.5	93.0	10.6	0.0	12.0	158.0	14.0	20.0	0.055	0.055	0.0	13:28:32.975
	8.6	19.5	6.3		966.0	0.5	93.0	10.6	0.0	12.5	158.0	14.0	20.0	0.055	0.055	0.0	13:28:33.222
